什么	shen me
全身心地	quan shen xin de
手把手地	shou ba shou de
装内行地	zhuang na hang de
飞也似地	fei ye shi de
国王似地	guo wang shi de
箭也似地	jian ye shi de
逃也似地	tao ye shi de
想要似地	xiang yao shi de
有目的地	you mu di de
睡不着地	shui bu zhao de
不相称地	bu xiang chen de
不协调地	bu xie tiao de
向心里地	xiang xin li de
有粘性地	you nian xing de
有弹性地	you tan xing de
粘着性地	nian zhuo xing de
相称性地	xiang chen xing de
了不起地	liao bu qi de
爱扯谎地	ai che huang de
爱幻想地	ai huan xiang de
爱空想地	ai kong xiang de
爱梦想地	ai meng xiang de
爱生气地	ai sheng qi de
爱游玩地	ai you wan de
按比例地	an bi li de
按类别地	an lei bie de
按年代地	an nian dai de
八边形地	ba bian xing de
巴巴儿地	ba ba er de
半官方地	ban guan fang de
半透明地	ban tou ming de
半小时地	ban xiao shi de
半正式地	ban zheng shi de
报复性地	bao fu xing de
悲剧性地	bei ju xing de
被侮辱地	bei wu ru de
被诅咒地	bei zu zhou de
表面上地	biao mian shang de
并不断地	bing bu duan de
不碍事地	bu ai shi de
不安定地	bu an ding de
不安全地	bu an quan de
不必要地	bu bi yao de
不常有地	bu chang you de
不诚恳地	bu cheng ken de
不迟疑地	bu chi ni de
不持久地	bu chi jiu de
不充分地	bu chong fen de
不充份地	bu chong bin de
不充足地	bu chong zu de
不踌躇地	bu chou chu de
不触目地	bu chu mu de
不慈悲地	bu ci bei de
不道德地	bu dao de de
不费力地	bu fei li de
不分开地	bu fen kai de
不高兴地	bu gao xing de
不公平地	bu gong ping de
不固定地	bu gu ding de
不规则地	bu gui ze de
不含糊地	bu han hu de
不好看地	bu hao kan de
不慌忙地	bu huang mang de
不慌张地	bu huang zhang de
不活泼地	bu huo po de
不机敏地	bu ji min de
不吉祥地	bu ji xiang de
不坚固地	bu jian gu de
不间断地	bu jian duan de
不健康地	bu jian kang de
不健全地	bu jian quan de
不节俭地	bu jie jian de
不精密地	bu jing mi de
不精确地	bu jing que de
不客气地	bu ke qi de
不肯定地	bu ken ding de
不礼貌地	bu li mao de
不连续地	bu lian xu de
不灵巧地	bu ling qiao de
不明确地	bu ming que de
不明显地	bu ming xian de
不明智地	bu ming zhi de
不疲倦地	bu pi juan de
不漂亮地	bu piao liang de
不平常地	bu ping chang de
不恰当地	bu qia dang de
不虔诚地	bu qian cheng de
不轻信地	bu qing shen de
不清楚地	bu qing chu de
不清洁地	bu qing jie de
不情愿地	bu qing yuan de
不确定地	bu que ding de
不认真地	bu ren zhen de
不舒服地	bu shu fu de
不顺从地	bu shun cong de
不坦诚地	bu tan cheng de
不体面地	bu ben mian de
不体贴地	bu ben tie de
不同等地	bu tong deng de
不同类地	bu tong lei de
不透明地	bu tou ming de
不突出地	bu tu chu de
不完美地	bu wan mei de
不完全地	bu wan quan de
不完善地	bu wan shan de
不畏惧地	bu wei ju de
不稳定地	bu wen ding de
不习惯地	bu xi guan de
不鲜明地	bu xian ming de
不相等地	bu xiang deng de
不相容地	bu xiang rong de
不相同地	bu xiang tong de
不相信地	bu xiang shen de
不信神地	bu shen shen de
不信相地	bu shen xiang de
不虚伪地	bu xu wei de
不雅观地	bu ya guan de
不延迟地	bu yan chi de
不严格地	bu yan ge de
不严密地	bu yan mi de
不优美地	bu you mei de
不幽默地	bu you mo de
不犹豫地	bu you yu de
不友好地	bu you hao de
不友善地	bu you shan de
不愉快地	bu tou kuai de
不愿意地	bu yuan yi de
不在乎地	bu zai hu de
不整洁地	bu zheng jie de
不正常地	bu zheng chang de
不正当地	bu zheng dang de
不正确地	bu zheng que de
不正直地	bu zheng zhi de
不知名地	bu zhi ming de
不知情地	bu zhi qing de
不知怎地	bu zhi zen de
不忠实地	bu zhong shi de
不注意地	bu zhu yi de
不自然地	bu zi ran de
不自私地	bu zi si de
不自在地	bu zi zai de
部份性地	bu bin xing de
惨兮兮地	can xi xi de
超肉体地	chao rou ben de
超自然地	chao zi ran de
沉甸甸地	chen dian dian de
成比例地	cheng bi li de
成弓形地	cheng gong xing de
成切线地	cheng qie xian de
赤裸裸地	chi luo luo de
抽象性地	chou xiang xing de
除不尽地	chu bu jin de
创造性地	chuang zao xing de
纯理论地	chun li lun de
从开始地	cong kai shi de
从远处地	cong yuan chu de
代表性地	dai biao xing de
带冷笑地	dai leng xiao de
当呼格地	dang hu ge de
刀催化地	dao cui hua de
倒栽葱地	dao zai cong de
倒装法地	dao zhuang fa de
到远方地	dao yuan fang de
定时性地	ding shi xing de
断续性地	duan xu xing de
对抗性地	dui kang xing de
多变化地	duo bian hua de
多风波地	duo feng bo de
发柔光地	fa rou guang de
发作性地	fa zuo xing de
反过来地	fan guo lai de
反应性地	fan ying xing de
非典型地	fei dian xing de
非电子地	fei dian zi de
非公认地	fei gong ren de
非固有地	fei gu you de
非故意地	fei gu yi de
非官方地	fei guan fang de
非经常地	fei jing chang de
非正常地	fei zheng chang de
非正式地	fei zheng shi de
非正统地	fei zheng tong de
非政治地	fei zheng zhi de
分光镜地	fen guang jing de
分华丽地	fen hua li de
分虚伪地	fen xu wei de
风土性地	feng tu xing de
腐蚀性地	fu shi xing de
富感情地	fu gan qing de
该诅咒地	gai zu zhou de
干巴巴地	gan ba ba de
高采烈地	gao cai lie de
割草用地	ge cao yong de
个人性地	ge ren xing de
更不幸地	geng bu xing de
更充分地	geng chong fen de
更粗劣地	geng cu lie de
更缓慢地	geng huan man de
更确切地	geng que qie de
更详细地	geng xiang xi de
更向前地	geng xiang qian de
更辛苦地	geng xin gu de
更有力地	geng you li de
更有效地	geng you xiao de
更正确地	geng zheng que de
攻不破地	gong bu po de
共产论地	gong chan lun de
孤零零地	gu ling ling de
骨相学地	gu xiang xue de
国际性地	guo ji xing de
孩子气地	hai zi qi de
好打听地	hao da ting de
好挑剔地	hao tiao ti de
黑黝黝地	hei you you de
很可怕地	hen ke pa de
很明显地	hen ming xian de
横拔扈地	heng ba hu de
衡平法地	heng ping fa de
华俗气地	hua su qi de
怀敌意地	huai di yi de
怀疑性地	huai ni xing de
患热病地	huan re bing de
火辣辣地	huo la la de
极谨慎地	ji jin shen de
极痛苦地	ji tong gu de
极紊乱地	ji wen luan de
极详细地	ji xiang xi de
极准时地	ji zhun shi de
季节性地	ji jie xing de
假正经地	jia zheng jing de
肩并肩地	jian bing jian de
建设性地	jian she xing de
接特性地	jie te xing de
尽可能地	jin ke nai de
进一步地	jin yi bu de
经分析地	jing fen xi de
痉挛性地	jing luan xing de
竞赛性地	jing sai xing de
静悄悄地	jing qiao qiao de
就飞快地	jiu fei kuai de
就鲜明地	jiu xian ming de
居高位地	ju gao wei de
局部性地	ju bu xing de
决定性地	jue ding xing de
开玩笑地	kai wan xiao de
可比较地	ke bi jiao de
可崇敬地	ke chong jing de
可动性地	ke dong xing de
可断言地	ke duan yan de
可反对地	ke fan dui de
可防御地	ke fang yu de
可分别地	ke fen bie de
可分离地	ke fen li de
可改变地	ke gai bian de
可公开地	ke gong kai de
可接近地	ke jie jin de
可救济地	ke jiu ji de
可肯定地	ke ken ding de
可论证地	ke lun zheng de
可明言地	ke ming yan de
可钦佩地	ke qin pei de
可饶恕地	ke rao shu de
可忍耐地	ke ren nai de
可想象地	ke xiang xiang de
可信赖地	ke shen lai de
可信任地	ke shen ren de
可悬吊地	ke xuan diao de
可依赖地	ke yi lai de
可拥护地	ke yong hu de
可赞赏地	ke zan shang de
可证明地	ke zheng ming de
可治疗地	ke zhi liao de
可中止地	ke zhong zhi de
可尊敬地	ke zun jing de
空孔状地	kong kong zhuang de
懒洋洋地	lan yang yang de
泪汪汪地	lei wang wang de
冷冰冰地	leng bing bing de
冷不防地	leng bu fang de
乱糟糟地	luan zao zao de
慢腾腾地	man teng teng de
慢吞吞地	man tun tun de
媒染剂地	mei ran ji de
媒染性地	mei ran xing de
每小时地	mei xiao shi de
面对面地	mian dui mian de
面图法地	mian tu fa de
名词性地	ming ci xing de
内聚性地	na ju xing de
难避免地	nan bi mian de
难对付地	nan dui fu de
难废除地	nan fei chu de
难接近地	nan jie jin de
难控制地	nan kong zhi de
难取悦地	nan qu yue de
难忍受地	nan ren shou de
难允许地	nan yun hu de
能共处地	nai gong chu de
能忍耐地	nai ren nai de
你独自地	ni du zi de
拟声法地	ni sheng fa de
凝结性地	ning jie xing de
凝聚性地	ning ju xing de
欧美化地	ou mei hua de
攀节制地	pan jie zhi de
攀敛性地	pan lian xing de
批评性地	pi ping xing de
片分类地	pian fen lei de
气冲冲地	qi chong chong de
气呼呼地	qi hu hu de
前置词地	qian zhi ci de
轻悠悠地	qing you you de
趋药性地	cu yao xing de
全景式地	quan jing shi de
却热情地	que re qing de
确实性地	que shi xing de
人烦恼地	ren fan nao de
人注意地	ren zhu yi de
如封建地	ru feng jian de
如节日地	ru jie ri de
摄谱仪地	nie pu yi de
神经质地	shen jing zhi de
湿淋淋地	shi lin lin de
十字形地	shi zi xing de
实验性地	shi yan xing de
实质性地	shi zhi xing de
使分成地	shi fen cheng de
使愤怒地	shi fen nu de
使感动地	shi gan dong de
使灵妙地	shi ling miao de
使麻木地	shi ma mu de
使迷惑地	shi mi huo de
试验性地	shi yan xing de
收敛性地	shou lian xing de
守本分地	shou ben fen de
受困惑地	shou kun huo de
死一样地	si yi yang de
听教训地	ting jiao xun de
同位素地	tong wei su de
头向前地	tou xiang qian de
往上游地	wang shang you de
未烤透地	wei kao tou de
未受伤地	wei shou shang de
武扬威地	wu yang wei de
吸湿性地	xi shi xing de
稀成性地	xi cheng xing de
稀零零地	xi ling ling de
锡矿业地	xi kuang ye de
习惯性地	xi guan xing de
习很深地	xi hen shen de
喜吵架地	xi chao jia de
限制性地	xian zhi xing de
乡土气地	xiang tu qi de
相当快地	xiang dang kuai de
想不到地	xiang bu dao de
向边缘地	xiang bian yuan de
向东方地	xiang dong fang de
向海岸地	xiang hai an de
向后面地	xiang hou mian de
向内部地	xiang na bu de
向湿性地	xiang shi xing de
向西方地	xiang xi fang de
向药性地	xiang yao xing de
象声词地	xiang sheng ci de
象征性地	xiang zheng xing de
像幻影地	xiang huan ying de
像骑士地	xiang qi shi de
像蔷薇地	xiang qiang wei de
像软片地	xiang ruan pian de
笑眯眯地	xiao mi mi de
雄赳赳地	xiong jiu jiu de
修道士地	xiu dao shi de
修道院地	xiu dao yuan de
学究气地	xue jiu qi de
压倒性地	ya dao xing de
眼巴巴地	yan ba ba de
耀分离地	yao fen li de
一不安地	yi bu an de
一步步地	yi bu bu de
一部分地	yi bu fen de
一部份地	yi bu bin de
一节俭地	yi jie jian de
一客气地	yi ke qi de
一口气地	yi kou qi de
一幕幕地	yi mu mu de
一排排地	yi pai pai de
一疲倦地	yi pi juan de
一稳定地	yi wen ding de
一窝蜂地	yi wo feng de
一相容地	yi xiang rong de
一愉快地	yi tou kuai de
一怨恨地	yi yuan hen de
一愿意地	yi yuan yi de
医化学地	yi hua xue de
依教规地	yi jiao gui de
已起床地	yi qi chuang de
以电报地	yi dian bao de
易处理地	yi chu li de
易管理地	yi guan li de
易驾驭地	yi jia yu de
易流泪地	yi liu lei de
易生气地	yi sheng qi de
易受伤地	yi shou shang de
易弯曲地	yi wan qu de
易兴奋地	yi xing fen de
引注目地	yin zhu mu de
隐居性地	yin ju xing de
应指责地	ying zhi ze de
永久性地	yong jiu xing de
用催眠地	yong cui mian de
用假名地	yong jia ming de
用眼睛地	yong yan jing de
由远处地	you yuan chu de
有保留地	you bao liu de
有步骤地	you bu zhou de
有胆量地	you dan liang de
有道德地	you dao de de
有敌意地	you di yi de
有毒害地	you dai hai de
有光泽地	you guang shi de
有规律地	you gui lv de
有规则地	you gui ze de
有活力地	you huo li de
有机性地	you ji xing de
有几分地	you ji fen de
有焦点地	you jiao dian de
有节制地	you jie zhi de
有节奏地	you jie zou de
有结果地	you jie guo de
有剧毒地	you ju dai de
有礼貌地	you li mao de
有利益地	you li yi de
有耐性地	you nai xing de
有弱点地	you ruo dian de
有生气地	you sheng qi de
有胜败地	you sheng bai de
有湿气地	you shi qi de
有条件地	you tiao jian de
有希望地	you xi wang de
有兴趣地	you xing cu de
有旋律地	you xuan lv de
有学问地	you xue wen de
有因果地	you yin guo de
有硬皮地	you ying pi de
有勇气地	you yong qi de
有秩序地	you zhi xu de
有准备地	you zhun bei de
又讷讷地	you ne ne de
诱惑性地	you huo xing de
谀中伤地	yu zhong shang de
预言性地	yu yan xing de
圆筒形地	yuan tong xing de
远距离地	yuan ju li de
匀动摇地	yun dong yao de
匀分离地	yun fen li de
匀改变地	yun gai bian de
匀小时地	yun xiao shi de
再往前地	zai wang qian de
在本国地	zai ben guo de
在边际地	zai bian ji de
在床上地	zai chuang shang de
在第七地	zai di qi de
在海上地	zai hai shang de
在空中地	zai kong zhong de
在内部地	zai na bu de
在前方地	zai qian fang de
在上流地	zai shang liu de
在同处地	zai tong chu de
在同书地	zai tong shu de
在同章地	zai tong zhang de
在远方地	zai yuan fang de
在中间地	zai zhong jian de
占优势地	zhan you shi de
照惯例地	zhao guan li de
照拍子地	zhao pai zi de
照字面地	zhao zi mian de
照宗规地	zhao zong gui de
阵发性地	zhen fa xing de
直勾勾地	zhi gou gou de
直挺挺地	zhi ting ting de
职业性地	zhi ye xing de
专门性地	zhuan men xing de
装样子地	zhuang yang zi de
自杀性地	zi sha xing de
宗规上地	zong gui shang de
最节制地	zui jie zhi de
最理想地	zui li xiang de
最下位地	zui xia wei de
金声玉色	jin sheng yu shai
深自怨艾	shen zi yuan yi
心肌缺血	xin ji que xie
斑状出血	ban zhuang chu xie
产后出血	chan hou chu xie
颅内出血	lu na chu xie
七窍出血	qi qiao chu xie
子宫出血	zi gong chu xie
商行银行	shang hang yin hang
招商银行	zhao shang yin hang
巴林银行	ba lin yin hang
巴西银行	ba xi yin hang
保兑银行	bao dui yin hang
保付商行	bao fu shang hang
保付银行	bao fu yin hang
保管银行	bao guan yin hang
北京分行	bei jing fen hang
标题换行	biao ti huan hang
并一串行	bing yi chuan hang
不离本行	bu li ben hang
超级银行	chao ji yin hang
承兑银行	cheng dui yin hang
出口银行	chu kou yin hang
储备银行	chu bei yin hang
储蓄银行	chu xu yin hang
存款银行	cun kuan yin hang
存入银行	cun ru yin hang
打劫银行	da jie yin hang
代理银行	dai li yin hang
代收银行	dai shou yin hang
贷款银行	dai kuan yin hang
道亨银行	dao heng yin hang
典当商行	dian dang shang hang
电话银行	dian hua yin hang
电子银行	dian zi yin hang
东海银行	dong hai yin hang
东京银行	dong jing yin hang
动产银行	dong chan yin hang
独立银行	du li yin hang
兑换银行	dui huan yin hang
多国银行	duo guo yin hang
儿女成行	er nv cheng hang
发钞银行	fa chao yin hang
发展银行	fa zhan yin hang
放款银行	fang kuan yin hang
改玉改行	gai yu gai hang
工商银行	gong shang yin hang
工业银行	gong ye yin hang
股份银行	gu bin yin hang
国际同行	guo ji tong hang
国立银行	guo li yin hang
国内分行	guo na fen hang
国外分行	guo wai fen hang
国外银行	guo wai yin hang
国有银行	guo you yin hang
花旗银行	hua qi yin hang
华侨银行	hua qiao yin hang
华夏银行	hua xia yin hang
化学银行	hua xue yin hang
汇兑银行	hui dui yin hang
汇丰银行	hui feng yin hang
汇款银行	hui kuan yin hang
基层银行	ji ceng yin hang
基建银行	ji jian yin hang
建设银行	jian she yin hang
交通银行	jiao tong yin hang
结算银行	jie suan yin hang
金融商行	jin rong shang hang
进口商行	jin kou shang hang
经纪商行	jing ji shang hang
矩阵换行	ju zhen huan hang
开发银行	kai fa yin hang
开户银行	kai hu yin hang
开证银行	kai zheng yin hang
空头商行	kong tou shang hang
跨国银行	kua guo yin hang
离岸银行	li an yin hang
连锁银行	lian suo yin hang
联营银行	lian ying yin hang
领先同行	ling xian tong hang
流动银行	liu dong yin hang
贸易商行	mao yi shang hang
美丰银行	mei feng yin hang
美国银行	mei guo yin hang
美洲银行	mei zhou yin hang
米兰银行	mi lan yin hang
民生银行	min sheng yin hang
目下十行	mu xia shi hang
农民银行	nong min yin hang
农业银行	nong ye yin hang
浦发银行	pu fa yin hang
七十二行	qi shi er hang
企业银行	qi ye yin hang
抢劫银行	cheng jie yin hang
人民银行	ren min yin hang
日本银行	ri ben yin hang
三井银行	san jing yin hang
三菱银行	san ling yin hang
商人银行	shang ren yin hang
商务银行	shang wu yin hang
商业跳行	shang ye tao hang
商业银行	shang ye yin hang
实业银行	shi ye yin hang
世界银行	shi jie yin hang
市立银行	shi li yin hang
是个内行	shi ge na hang
收款银行	shou kuan yin hang
私人银行	si ren yin hang
私营银行	si ying yin hang
四国银行	si guo yin hang
台湾银行	tai wan yin hang
特许银行	te hu yin hang
贴现银行	tie xian yin hang
同业银行	tong ye yin hang
投资银行	tou zi yin hang
托收银行	tuo shou yin hang
外国商行	wai guo shang hang
外国银行	wai guo yin hang
外汇银行	wai hui yin hang
外资银行	wai zi yin hang
网上银行	wang shang yin hang
往来银行	wang lai yin hang
委托商行	wei tuo shang hang
文字换行	wen zi huan hang
我国银行	wo guo yin hang
西特银行	xi te yin hang
乡村银行	xiang cun yin hang
信贷银行	shen dai yin hang
信托银行	shen tuo yin hang
兴业银行	xing ye yin hang
秀出班行	xiu chu ban hang
押汇银行	ya hui yin hang
野猫银行	ye mao yin hang
一目五行	yi mu wu hang
鱼贯雁行	yu guan yan hang
运输商行	yun shu shang hang
渣打银行	zha da yin hang
债权银行	zhai quan yin hang
整字换行	zheng zi huan hang
政府银行	zheng fu yin hang
指定银行	zhi ding yin hang
中国农行	zhong guo nong hang
中国银行	zhong guo yin hang
中央银行	zhong yang yin hang
中资银行	zhong zi yin hang
住友银行	zhu you yin hang
专业银行	zhuan ye yin hang
自动换行	zi dong huan hang
自营商行	zi ying shang hang
脑中仿佛	nao zhong fang fu
太阳仿佛	tai yang fang fu
眼睛仿佛	yan jing fang fu
眼前仿佛	yan qian fang fu
攻心扼吭	gong xin e gang
捣虚批吭	dao xu pi gang
拊背扼吭	fu bei e gang
赏善罚否	shang shan fa pi
泰极而否	tai ji er pi
泰极生否	tai ji sheng pi
陟罚臧否	zhi fa cang pi
榱崩栋折	cui beng dong she
东量西折	dong liang xi she
中的主角	zhong di zhu jue
充当配角	chong dang pei jue
初演主角	chu yan zhu jue
胆小丑角	dan xiao chou jue
剧中主角	ju zhong zhu jue
男女主角	nan nv zhu jue
学当替角	xue dang ti jue
以宫笑角	yi gong xiao jue
引商刻角	yin shang ke jue
干将莫邪	gan jiang mo ye
